ReviewBody,subjetivo,polaridade
"['O ambiente é muito agradável, a comida é  excelente e o atendimento foi ótimo.']",[0.9166666666666666],[0.9177777777777777]
"['Tem música ambiente, com piano nos finais de semana.']",[0.0],[0.0]
['Tudo excelente.'],[1.0],[1.0]
"['Ambiente agradável, bom atendimento, cardápio variado.']",[0.7833333333333334],[0.7166666666666666]
['Oferece opções para quem não abre mão da carne.'],[0.0],[0.1]
"['Os pratos são bem servidos, apresentação boa e muito saborosos.']",[0.45000000000000007],[0.44999999999999996]
"['E a vista é um brinde, gostei das mesas da sacada.']",[0.8],[0.6]
"['Lugar muito bom, bom atendimento e comida deliciosa!']",[0.7933333333333334],[0.87]
['A feijoada do almoço no sábado é divina.'],[0.0],[0.0]
['Vale a pena conferir.'],[0.1],[0.3]
['O happy hour também é imperdível.'],[1.0],[0.8]
"['Almocei com a família no Dom pastel e fui atendida com excelência pelo garçom  Eduardo além do que, o prato de carne de sol estava muito gostoso e bem servido.']",[0.3],[0.2]
"['Ambiente descolado, atendimento bom.']",[0.625],[0.5249999999999999]
['O preço é salgado para cidade de Fortaleza.'],[0.0],[0.0]
['O que deixa a desejar é a obrigação de pagar couvert artístico.'],[1.0],[0.3333333333333333]
['Barzinho descontraído e ótimo para encontrar os amigos.'],[0.75],[0.8]
['Bem frequentado e bom ambiente.'],[0.6000000000000001],[0.7]
['Em frente q praça da Espanha.'],[0.0],[0.0]
['Boa variedade de bebida e comida no cardápio a preços alinhados ao mercado.'],[0.6000000000000001],[0.7]
['Atendimento bom.'],[0.6000000000000001],[0.7]
['Pedi o bolinho de carne e estava delicioso.'],[1.0],[1.0]
['Muito bom!!'],[0.7800000000000001],[1.0]
['!'],[0.0],[0.0]
"['Cuidado com as filas, tente chegar cedo para conseguir mesa.']",[0.65],[0.0]
"['O pão de calabresa é excelente, assim como o mousse preto e branco.']",[0.4777777777777778],[0.2777777777777778]
"['Adoro o skininha Grill, pelo atendimento e cerveja gelada.']",[0.8],[-0.04999999999999999]
['Adoro a localização e a comida.'],[0.6],[0.5]
['Ambiente agradável.'],[0.9666666666666667],[0.7333333333333333]
"['Almoço rápido, atendimento ok, os pratos são bem servidos!']",[0.5],[0.47916666666666663]
['Para um casal sem tanta fome os pratos de camarão individuais dão tranquilo!'],[0.6166666666666667],[0.27083333333333337]
['Boa pedida pra ir com família'],[0.6000000000000001],[0.7]
['Restaurante muito bom !'],[0.7800000000000001],[1.0]
"['Comida italiana deliciosa e com preço justo , porem aos domingos muito cheio.']",[0.5499999999999999],[0.475]
['Espera longa!'],[0.4],[-0.0625]
['Vale a pena ...Tudo ótimo 👍🏻'],[0.425],[0.55]
['Chopp fabricacao própria nota 10!'],[1.0],[0.75]
['Pratos típicos alemães e cozinha internacional.'],[0.16666666666666666],[-0.05555555555555555]
"['Serviço excelente, vc pensa e a coisa chega!']",[0.75],[0.5]
['Recomendo.'],[0.0],[0.0]
['No Brascan Mall no Itaim Bibi.'],[0.0],[0.0]
"['Ótimo ambiente,atendimento muito eficiente e prestativo ( não se acanhe de pedir explicações sobre os pratos eles o fazem com muita paciência e objetividade ).']",[0.575],[0.325]
['O chef está sempre por perto pássando nas mesas e conversando com simpatia com todos.'],[0.0],[0.0]
"['Apesar de sofisticado , o ambiente é informal pelo atendimento de todos .']",[0.6875],[0.1875]
"['O principal, a comida, posso afirmar ter sido uma das mais  sofisticadas e bem elaboradas de todos os restaurantes que já frequentei mundo afora.']",[0.611111111111111],[0.38888888888888884]
"['O cardápio de comidas francesas é bem diversificado e posso sugerir o que provamos: o confit de foie gras foi inesquecível, a codorna pedida pela minha esposa ( desossada e tenra ) estava espetacular.']",[0.55],[0.4]
"['Não se trata de restaurante popular, portanto, o preço faz jus ào que se propõe.']",[0.9],[-0.3]
['Pratos individuais em torno de 75-90 reais .'],[0.4],[0.0]
['Carta de vinho com muitos rótulos franceses além de bons argentinos e chilenos com escala de preços de 600- 100 .'],[0.3666666666666667],[0.39999999999999997]
['Reserve pois por volta de 21:30 fica difícil conseguir lugar.'],[1.0],[-0.5]
['Recomendadíssimo para um jantar especial em Porto Alegre'],[0.4357142857142857],[0.2785714285714286]
"['Local calmo, perto da orla de Camburi, com porções deliciosas e com bom preço.']",[0.6444444444444445],[0.5666666666666667]
['Recomendo a visita .. terças e quartas chopp em dobro !'],[0.0],[0.0]
"['Local maravilhoso para ir com crianças, pois você pode tomar seu drink e comer pastéis, pizzas e até caranguejos, bem sossegados, pois existe um espaço infantil para crianças com monitores que podem ser utilizados pelos clientes.']",[0.7166666666666667],[0.5]
['Tive duas únicas e péssimas experiências com esse local.'],[1.0],[-0.3125]
['Em ambas visitas fui a convite de amigos que resolveram comemorar seus aniversários lá  e saí desejando nunca mais voltar.'],[0.0],[0.0]
"['Uma foi por volta de 2012 ou 2013, outra foi agora em novembro, mas nada mudou.']",[0.0],[0.0]
"['Sem nenhum exagero, é o pior atendimento que eu já vi num bar.']",[1.0],[-1.0]
['Os garçons te tratam como se estivessem fazendo um favor de te atender.'],[0.0],[0.0]
"['Fingem que não te viram chamando, anotam bebida a mais na cartela e em vez de corrigirem a anotação trazem a bebida a mais.']",[0.22962962962962963],[0.08148148148148147]
['É um show de absurdos.'],[0.0],[0.0]
"['E se você chama outro garçom pedindo pra corrigir o pedido ele ainda te responde ""se ele anotou, ele vai trazer"".']",[0.2888888888888889],[-0.15555555555555559]
['Parece piada.'],[0.0],[0.0]
"['Minha última visita durou o tempo recorde de 40 minutos, porque é impossível ficar num lugar lotado, com atendimento ruim e bebendo um chope terrivelmente quente.']",[0.6291666666666667],[-0.20416666666666666]
['A rodada dupla era quase um castigo: traziam os dois chopes pra você de uma vez só.'],[0.2],[-0.1]
['Aí o negócio que já chega quente fica em cima da mesa esquentando ainda mais.'],[0.675],[0.375]
['É ridículo.'],[1.0],[-0.3333333333333333]
['A comida é cara e também decepciona.'],[0.7],[-0.55]
"['Pedi uma porção de pastel de angu com recheio de queijo que chegou metade quente, metade frio.']",[0.5458333333333334],[-0.17083333333333334]
"['Frio de mal frito mesmo, com o queijo em pedaços dentro do pastel, não deu tempo nem de derreter.']",[0.8333333333333333],[-0.6499999999999999]
"['Paguei a conta, fui embora e não pretendo voltar nunca mais.']",[0.0],[0.0]
['Sugiro que você também não vá.'],[0.0],[0.0]
"['Tem lugar muito melhor na cidade pra você gastar seu dinheiro, vai por mim.']",[0.5],[0.5]
"['Ótimo restaurante self-service, com farto e delicioso buffet, numa localização aprazível e conveniente junto ao Parque da Redenção.']",[0.6933333333333334],[0.5816666666666667]
"['Além do grande salão, pode-se também escolher mesas ao ar livre no parque, o que sempre é a minha preferência.']",[0.42857142857142855],[0.21428571428571427]
['Aos fins de semana pode haver fila.'],[0.0],[0.0]
['O preço único é muito conveniente pois podemos servir-nos à vontade e quantas vezes nos aprouver; sobremesas incluidas.'],[0.2571428571428571],[0.0642857142857143]
"['O único risco é comer demais, pois há grande variedade e tudo é muito saboroso!']",[0.5666666666666667],[0.049999999999999996]
