ReviewBody;Objetiva ;Subjetiva ;Polaridade: Positiva (1), Negativa (-1) e Neutra (0)
['O ambiente é muito agradável, a comida é  excelente e o atendimento foi ótimo.'];;1;1
['Tem música ambiente, com piano nos finais de semana.'];0;;
['Tudo excelente.'];;1;1
['Ambiente agradável, bom atendimento, cardápio variado.'];;1;1
['Oferece opções para quem não abre mão da carne.'];0;;
['Os pratos são bem servidos, apresentação boa e muito saborosos.'];;1;1
['E a vista é um brinde, gostei das mesas da sacada.'];;1;1
['Lugar muito bom, bom atendimento e comida deliciosa!'];;1;1
['A feijoada do almoço no sábado é divina.'];;1;1
['Vale a pena conferir.'];0;;
['O happy hour também é imperdível.'];;1;1
['Almocei com a família no Dom pastel e fui atendida com excelência pelo garçom  Eduardo além do que, o prato de carne de sol estava muito gostoso e bem servido.'];;1;1
['Ambiente descolado, atendimento bom.'];;1;1
['O preço é salgado para cidade de Fortaleza.'];;1;-1
['O que deixa a desejar é a obrigação de pagar couvert artístico.'];;1;-1
['Barzinho descontraído e ótimo para encontrar os amigos.'];;1;1
['Bem frequentado e bom ambiente.'];;1;1
['Em frente q praça da Espanha.'];0;;
['Boa variedade de bebida e comida no cardápio a preços alinhados ao mercado.'];;1;1
['Atendimento bom.'];;1;1
['Pedi o bolinho de carne e estava delicioso.'];;1;1
['Muito bom!!'];;1;1
['!'];0;;
['Cuidado com as filas, tente chegar cedo para conseguir mesa.'];;1;-1
['O pão de calabresa é excelente, assim como o mousse preto e branco.'];;1;1
['Adoro o skininha Grill, pelo atendimento e cerveja gelada.'];;1;1
['Adoro a localização e a comida.'];;1;1
['Ambiente agradável.'];;1;1
['Almoço rápido, atendimento ok, os pratos são bem servidos!'];;1;1
['Para um casal sem tanta fome os pratos de camarão individuais dão tranquilo!'];;1;0
['Boa pedida pra ir com família'];;1;1
['Restaurante muito bom !'];;1;1
['Comida italiana deliciosa e com preço justo , porem aos domingos muito cheio.'];;1;1
['Espera longa!'];;1;-1
['Vale a pena ...Tudo ótimo 👍🏻'];;1;1
['Chopp fabricacao própria nota 10!'];;1;1
['Pratos típicos alemães e cozinha internacional.'];0;;
['Serviço excelente, vc pensa e a coisa chega!'];;1;1
['Recomendo.'];;1;1
['No Brascan Mall no Itaim Bibi.'];0;;
['Ótimo ambiente,atendimento muito eficiente e prestativo ( não se acanhe de pedir explicações sobre os pratos eles o fazem com muita paciência e objetividade ).'];;1;1
['O chef está sempre por perto pássando nas mesas e conversando com simpatia com todos.'];0;;
['Apesar de sofisticado , o ambiente é informal pelo atendimento de todos .'];0;;
['O principal, a comida, posso afirmar ter sido uma das mais  sofisticadas e bem elaboradas de todos os restaurantes que já frequentei mundo afora.'];;1;1
['O cardápio de comidas francesas é bem diversificado e posso sugerir o que provamos: o confit de foie gras foi inesquecível, a codorna pedida pela minha esposa ( desossada e tenra ) estava espetacular.'];;1;1
['Não se trata de restaurante popular, portanto, o preço faz jus ào que se propõe.'];;1;1
['Pratos individuais em torno de 75-90 reais .'];0;;
['Carta de vinho com muitos rótulos franceses além de bons argentinos e chilenos com escala de preços de 600- 100 .'];0;;
['Reserve pois por volta de 21:30 fica difícil conseguir lugar.'];;1;-1
['Recomendadíssimo para um jantar especial em Porto Alegre'];;1;1
['Local calmo, perto da orla de Camburi, com porções deliciosas e com bom preço.'];;1;1
['Recomendo a visita .. terças e quartas chopp em dobro !'];;1;1
['Local maravilhoso para ir com crianças, pois você pode tomar seu drink e comer pastéis, pizzas e até caranguejos, bem sossegados, pois existe um espaço infantil para crianças com monitores que podem ser utilizados pelos clientes.'];;1;1
['Tive duas únicas e péssimas experiências com esse local.'];;1;-1
['Em ambas visitas fui a convite de amigos que resolveram comemorar seus aniversários lá  e saí desejando nunca mais voltar.'];;1;-1
['Uma foi por volta de 2012 ou 2013, outra foi agora em novembro, mas nada mudou.'];0;;
['Sem nenhum exagero, é o pior atendimento que eu já vi num bar.'];;1;-1
['Os garçons te tratam como se estivessem fazendo um favor de te atender.'];;1;-1
['Fingem que não te viram chamando, anotam bebida a mais na cartela e em vez de corrigirem a anotação trazem a bebida a mais.'];;1;-1
['É um show de absurdos.'];;1;-1
"['E se você chama outro garçom pedindo pra corrigir o pedido ele ainda te responde ""se ele anotou, ele vai trazer"".']";0;;
['Parece piada.'];;;
['Minha última visita durou o tempo recorde de 40 minutos, porque é impossível ficar num lugar lotado, com atendimento ruim e bebendo um chope terrivelmente quente.'];;1;1
['A rodada dupla era quase um castigo: traziam os dois chopes pra você de uma vez só.'];;1;1
['Aí o negócio que já chega quente fica em cima da mesa esquentando ainda mais.'];;1;-1
['É ridículo.'];;1;-1
['A comida é cara e também decepciona.'];;1;-1
['Pedi uma porção de pastel de angu com recheio de queijo que chegou metade quente, metade frio.'];;1;-1
['Frio de mal frito mesmo, com o queijo em pedaços dentro do pastel, não deu tempo nem de derreter.'];;1;-1
['Paguei a conta, fui embora e não pretendo voltar nunca mais.'];;1;-1
['Sugiro que você também não vá.'];;1;-1
['Tem lugar muito melhor na cidade pra você gastar seu dinheiro, vai por mim.'];0;;
['Ótimo restaurante self-service, com farto e delicioso buffet, numa localização aprazível e conveniente junto ao Parque da Redenção.'];;1;1
['Além do grande salão, pode-se também escolher mesas ao ar livre no parque, o que sempre é a minha preferência.'];0;;
['Aos fins de semana pode haver fila.'];;1;-1
"['O preço único é muito conveniente pois podemos servir-nos à vontade e quantas vezes nos aprouver; sobremesas incluidas.']";;1;1
['O único risco é comer demais, pois há grande variedade e tudo é muito saboroso!'];;1;1
['Não da pra ir a Natal e não comer a melhor carne de sol.'];;1;1
['Muito saborosa, macia.'];;1;1
['Fomos muito bem atendidos e a comida chegou bem rápido.'];;1;1
['A vista então, nem se fala.'];;1;1
['Tudo muito bonito.'];;1;1
['Otimo lugar, hambiente clean, atendimento nota 10, comida boa.'];;1;1
['super recomendo.'];;1;1
['internet de boa qualidade, otimo preço.'];;1;1
['Restaurante muito bonito , comida bem feita , porém o atendimento é péssimo , garçons passam por nós e não atendem ....'];;1;-1
['Fui 1 vez a caneca zero grau muito gelada e atendimento e petisco bom e bem servido.'];;1;1
['Na 2°vez comemorei meu niver lá e agora com rodízio de petisco dia de semana, gostei só achei que eles seguram um pouco os petiscos tendo q ficar pedindo algumas vezes,música ao vivo boa,só estava muito calor acho a dia de semana eles ñ colocam as mesas na calçada,música estava bastante alta oq fazia com que a gente tivesse q gritar p conversar.'];;1;-1
['Mas virou um dos meus queridinhos do Pólo.'];;1;1
['Rodizio estava 29,90.'];0;;
['O atendimento é um destaque do madeiro Cuiabá, funcionários muito comprometidos, comida boa e ambiente ótimo, recomendo sem medo.'];;1;1
['O problema de ir em restaurante famoso é que chegamos lá com espectativas altas daí não avaliamos com isenção, se for sem pré concepção verá um ótimo restaurante.'];0;;
['Gostei muito de almoçar no Oliva e vou sempre lá.'];;1;1
['Mas ontem inventei de ir para um rodízio de pizza no restaurante imaginando que seria tão bom quanto o almoço.'];0;;
['Conselho: não vá para o rodízio.'];;1;-1
['O rodízio é caro demais para os sabores da pizza que oferecem: queijo e presunto, marguerita, frango, calabresa, e os melhores eram quatro queijos e peperoni e apenas uma vez apareceu uma de camarão.'];;1;-1
"['Já fui para rodízios de mesmo valor com uma variedade de pizzas maior e sabores menos ""comuns"".']";;1;-1
['Além disso, o local não estava cheio e as pizzas demoravam uma vida para chegar na mesa (imagine se o local estivesse cheio).'];;1;-1
['lugar agradável com ótimo atendimento e ótimos preços .musica ao vivo variada .'];;1;1
['lugar para ir com amigos , família'];0;;
['Estivemos em Campo Grande para um fim de semana e resolvemos almoçar no domingo no Yallah.'];0;;
['Comida excelente!'];;1;1
['Atendimento muito especial!'];;1;1
['Vale a pena visita!'];;1;1
['Restaurante simples com a melhor comida libanesa que comi.'];;1;1
['..'];0;;
['A começar pelo atendimento da Valeria e do restante da equipe: impecável!!!'];;1;1
['Havia espera de uns 45 minutos, mas sentamos muito antes disso.'];0;;
['Pedimos um guioza de entrada, que estava muito saboroso (massa e recheio).'];;1;1
['Os drinks muito bons e os ramens (Shoyu e Tom Tom) estavam excepcionais.'];;1;1
['A experiência e a satisfação não podiam ser melhores.'];;1;1
['Uma grata surpresa com os sabores e quantidades.'];;1;1
['Preços justos pela qualidade e sabores servidos.'];;1;1
['Nota 10!!!'];;1;1
['!'];0;;
['Trata-se de praticamente uma boate a várias mãos, pois são muitos estabelecimentos de comidas e bebidas e um espaço com palco e banda coletivos, quase uma balada.'];0;;
