ReviewBody,subjetivo,polaridade
"['O ambiente é muito agradável, a comida é  excelente e o atendimento foi ótimo.']",1,1
"['Tem música ambiente, com piano nos finais de semana.']",0,0
['Tudo excelente.'],1,1
"['Ambiente agradável, bom atendimento, cardápio variado.']",1,1
['Oferece opções para quem não abre mão da carne.'],0,1
"['Os pratos são bem servidos, apresentação boa e muito saborosos.']",1,1
"['E a vista é um brinde, gostei das mesas da sacada.']",1,1
"['Lugar muito bom, bom atendimento e comida deliciosa!']",1,1
['A feijoada do almoço no sábado é divina.'],0,0
['Vale a pena conferir.'],0,1
['O happy hour também é imperdível.'],1,1
"['Almocei com a família no Dom pastel e fui atendida com excelência pelo garçom  Eduardo além do que, o prato de carne de sol estava muito gostoso e bem servido.']",1,1
"['Ambiente descolado, atendimento bom.']",1,1
['O preço é salgado para cidade de Fortaleza.'],0,0
['O que deixa a desejar é a obrigação de pagar couvert artístico.'],1,1
['Barzinho descontraído e ótimo para encontrar os amigos.'],1,1
['Bem frequentado e bom ambiente.'],1,1
['Em frente q praça da Espanha.'],0,0
['Boa variedade de bebida e comida no cardápio a preços alinhados ao mercado.'],1,1
['Atendimento bom.'],1,1
['Pedi o bolinho de carne e estava delicioso.'],1,1
['Muito bom!!'],1,1
['!'],0,0
"['Cuidado com as filas, tente chegar cedo para conseguir mesa.']",1,0
"['O pão de calabresa é excelente, assim como o mousse preto e branco.']",1,1
"['Adoro o skininha Grill, pelo atendimento e cerveja gelada.']",1,-1
['Adoro a localização e a comida.'],1,1
['Ambiente agradável.'],1,1
"['Almoço rápido, atendimento ok, os pratos são bem servidos!']",1,1
['Para um casal sem tanta fome os pratos de camarão individuais dão tranquilo!'],1,1
['Boa pedida pra ir com família'],1,1
['Restaurante muito bom !'],1,1
"['Comida italiana deliciosa e com preço justo , porem aos domingos muito cheio.']",1,1
['Espera longa!'],1,-1
['Vale a pena ...Tudo ótimo 👍🏻'],1,1
['Chopp fabricacao própria nota 10!'],1,1
['Pratos típicos alemães e cozinha internacional.'],0,-1
"['Serviço excelente, vc pensa e a coisa chega!']",1,1
['Recomendo.'],0,0
['No Brascan Mall no Itaim Bibi.'],0,0
"['Ótimo ambiente,atendimento muito eficiente e prestativo ( não se acanhe de pedir explicações sobre os pratos eles o fazem com muita paciência e objetividade ).']",1,1
['O chef está sempre por perto pássando nas mesas e conversando com simpatia com todos.'],0,0
"['Apesar de sofisticado , o ambiente é informal pelo atendimento de todos .']",1,1
"['O principal, a comida, posso afirmar ter sido uma das mais  sofisticadas e bem elaboradas de todos os restaurantes que já frequentei mundo afora.']",1,1
"['O cardápio de comidas francesas é bem diversificado e posso sugerir o que provamos: o confit de foie gras foi inesquecível, a codorna pedida pela minha esposa ( desossada e tenra ) estava espetacular.']",1,1
"['Não se trata de restaurante popular, portanto, o preço faz jus ào que se propõe.']",1,-1
['Pratos individuais em torno de 75-90 reais .'],1,0
['Carta de vinho com muitos rótulos franceses além de bons argentinos e chilenos com escala de preços de 600- 100 .'],1,1
['Reserve pois por volta de 21:30 fica difícil conseguir lugar.'],1,-1
['Recomendadíssimo para um jantar especial em Porto Alegre'],1,1
"['Local calmo, perto da orla de Camburi, com porções deliciosas e com bom preço.']",1,1
['Recomendo a visita .. terças e quartas chopp em dobro !'],0,0
"['Local maravilhoso para ir com crianças, pois você pode tomar seu drink e comer pastéis, pizzas e até caranguejos, bem sossegados, pois existe um espaço infantil para crianças com monitores que podem ser utilizados pelos clientes.']",1,1
['Tive duas únicas e péssimas experiências com esse local.'],1,-1
['Em ambas visitas fui a convite de amigos que resolveram comemorar seus aniversários lá  e saí desejando nunca mais voltar.'],0,0
"['Uma foi por volta de 2012 ou 2013, outra foi agora em novembro, mas nada mudou.']",0,0
"['Sem nenhum exagero, é o pior atendimento que eu já vi num bar.']",1,-1
['Os garçons te tratam como se estivessem fazendo um favor de te atender.'],0,0
"['Fingem que não te viram chamando, anotam bebida a mais na cartela e em vez de corrigirem a anotação trazem a bebida a mais.']",1,1
['É um show de absurdos.'],0,0
"['E se você chama outro garçom pedindo pra corrigir o pedido ele ainda te responde ""se ele anotou, ele vai trazer"".']",1,-1
['Parece piada.'],0,0
"['Minha última visita durou o tempo recorde de 40 minutos, porque é impossível ficar num lugar lotado, com atendimento ruim e bebendo um chope terrivelmente quente.']",1,-1
['A rodada dupla era quase um castigo: traziam os dois chopes pra você de uma vez só.'],0,-1
['Aí o negócio que já chega quente fica em cima da mesa esquentando ainda mais.'],1,1
['É ridículo.'],1,-1
['A comida é cara e também decepciona.'],1,-1
"['Pedi uma porção de pastel de angu com recheio de queijo que chegou metade quente, metade frio.']",1,-1
